Source,Destination,Protocol,Length,Info,Source MAC Address,Destination MAC,Source IP ARP,Destination IP ARP,Label
192.168.77.21,157.240.199.15,TCP,54,49938  >  443 [ACK] Seq=1680 Ack=755165 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 443  >  49938 [ACK] Seq=747865 Ack=1680 Win=64240 Len=1460 [TCP segment of a reassembled PDU],aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2106#1] 49938  >  443 [ACK] Seq=1680 Ack=755165 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 443  >  49938 [ACK] Seq=749325 Ack=1680 Win=64240 Len=1460 [TCP segment of a reassembled PDU],aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2106#2] 49938  >  443 [ACK] Seq=1680 Ack=755165 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 443  >  49938 [ACK] Seq=752245 Ack=1680 Win=64240 Len=1460 [TCP segment of a reassembled PDU],aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2106#3] 49938  >  443 [ACK] Seq=1680 Ack=755165 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,"[TCP Fast Retransmission] 443  >  49938 [ACK] Seq=755165 Ack=1680 Win=64240 Len=1460 [TCP segment of a reassembled PDU], Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#1] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#2] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#3] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=765385 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#4] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=768305 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#5] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=771225 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#6] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=772685 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#7] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=774145 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#8] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=775605 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#9] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=778525 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#10] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=781445 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#11] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=782905 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#12] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=784365 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#13] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=788745 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#14] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=790205 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#15] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=794585 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#16] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=796045 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#17] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=800425 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#18] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=803345 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#19] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=804805 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#20] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1513,"[TCP Retransmission] 443  >  49938 [PSH, ACK] Seq=809185 Ack=1680 Win=64240 Len=1459",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#21] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,Ignored Unknown Record,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#22] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Previous segment not captured] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#23] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,Ignored Unknown Record,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Previous segment not captured] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#24] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#25] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Previous segment not captured] 443  >  49938 [ACK] Seq=823784 Ack=1680 Win=64240 Len=1460 [TCP segment of a reassembled PDU],aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#26] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,"443  >  49938 [PSH, ACK] Seq=825244 Ack=1680 Win=64240 Len=1460 [TCP segment of a reassembled PDU]",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#27] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Out-Of-Order] 443  >  49938 [ACK] Seq=763925 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#28] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=766845 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#29] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=771225 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#30] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=774145 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#31] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=791665 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#32] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=794585 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#33] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=797505 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#34] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=798965 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#35] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=801885 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#36] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=804805 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2114#37] 49938  >  443 [ACK] Seq=1680 Ack=762465 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=762465 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#1] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#2] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#3] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#4] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#5] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#6] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#7] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2190#8] 49938  >  443 [ACK] Seq=1680 Ack=794584 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=793125 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP ACKed unseen segment] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#1] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#2] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#3] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Spurious Retransmission] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#4] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=807725 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#5] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=812105 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#6] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=815025 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#7] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=817945 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#8] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=820865 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2208#9] 49938  >  443 [ACK] Seq=1680 Ack=807724 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=823785 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
